"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz-intro\quiz-intro.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz-intro\quiz-intro.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz-intro\quiz-intro.component.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz\quiz.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 36, 2, 61
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz\quiz.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz\quiz.component.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 7, 39
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\resultpage\resultpage.component.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 22, 2, 60
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\resultpage\resultpage.component.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\resultpage\resultpage.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\start\start.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\start\start.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\start\start.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\start\start.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\statistics\statistics.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\statistics\statistics.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\statistics\statistics.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\topics\topics.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\topics\topics.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\topics\topics.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
